Route,Stop_Name,Latitude,Longitude,,From_Stop,To_Stop,,,,Stop_Name
Portlaoise - Dublin,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Portarlington ,,,,Portlaoise 
Portlaoise - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Monasterevin ,,,,Portarlington 
Portlaoise - Dublin,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Kildare ,,,,Monasterevin 
Portlaoise - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,Kildare 
Portlaoise - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Sallins and Naas ,,,,Newbridge 
Portlaoise - Dublin,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Hazelhatch and Celbridge ,,,,Sallins and Naas 
Portlaoise - Dublin,Hazelhatch and Celbridge ,53.323003,-6.523108,,Hazelhatch and Celbridge ,Adamstown ,,,,Hazelhatch and Celbridge 
Portlaoise - Dublin,Adamstown ,53.336295,-6.46911,,Adamstown ,Clondalkin Fonthill ,,,,Adamstown 
Portlaoise - Dublin,Clondalkin Fonthill ,53.33337,-6.406279,,Clondalkin Fonthill ,Park West and Cherry Orchard ,,,,Clondalkin Fonthill 
Portlaoise - Dublin,Park West and Cherry Orchard ,53.334009,-6.37876,,Park West and Cherry Orchard ,Dublin Heuston ,,,,Park West and Cherry Orchard 
Portlaoise - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,Dublin Heuston 
,,,,,,,,,,Greystones 
Dublin - Portlaoise,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Park West and Cherry Orchard ,,,,Bray (Daly) 
Dublin - Portlaoise,Park West and Cherry Orchard ,53.334009,-6.37876,,Park West and Cherry Orchard ,Clondalkin Fonthill ,,,,Dun Laoghaire (Mallin) 
Dublin - Portlaoise,Clondalkin Fonthill ,53.33337,-6.406279,,Clondalkin Fonthill ,Adamstown ,,,,Grand Canal Dock 
Dublin - Portlaoise,Adamstown ,53.336295,-6.46911,,Adamstown ,Hazelhatch and Celbridge ,,,,Dublin Pearse 
Dublin - Portlaoise,Hazelhatch and Celbridge ,53.323003,-6.523108,,Hazelhatch and Celbridge ,Sallins and Naas ,,,,Tara Street 
Dublin - Portlaoise,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Newbridge ,,,,Dublin Connolly 
Dublin - Portlaoise,Newbridge ,53.185394,-6.808223,,Newbridge ,Kildare ,,,,Clontarf Road 
Dublin - Portlaoise,Kildare ,53.162778,-6.907936,,Kildare ,Monasterevin ,,,,Killester 
Dublin - Portlaoise,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Portarlington ,,,,Harmonstown 
Dublin - Portlaoise,Portarlington ,53.14605,-7.180555,,Portarlington ,Portlaoise ,,,,Raheny 
Dublin - Portlaoise,Portlaoise ,53.036748,-7.301227,,,,,,,Kilbarrack 
,,,,,,,,,,Howth Junction and Donaghmede 
Greystones  - Howth,Greystones ,53.144026,-6.061128,,Greystones ,Bray (Daly) ,,,,Bayside 
Greystones  - Howth,Bray (Daly) ,53.203712,-6.100194,,Bray (Daly) ,Dun Laoghaire (Mallin) ,,,,Sutton 
Greystones  - Howth,Dun Laoghaire (Mallin) ,53.294776,-6.134575,,Dun Laoghaire (Mallin) ,Grand Canal Dock ,,,,Howth 
Greystones  - Howth,Grand Canal Dock ,53.339446,-6.237351,,Grand Canal Dock ,Dublin Pearse ,,,,Malahide 
Greystones  - Howth,Dublin Pearse ,53.343252,-6.248048,,Dublin Pearse ,Tara Street ,,,,Portmarnock 
Greystones  - Howth,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Connolly ,,,,Clongriffin 
Greystones  - Howth,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Clontarf Road ,,,,Cork (Kent) 
Greystones  - Howth,Clontarf Road ,53.363077,-6.226784,,Clontarf Road ,Killester ,,,,Mallow 
Greystones  - Howth,Killester ,53.372884,-6.204046,,Killester ,Harmonstown ,,,,Charleville 
Greystones  - Howth,Harmonstown ,53.378643,-6.19131,,Harmonstown ,Raheny ,,,,Limerick Junction 
Greystones  - Howth,Raheny ,53.381423,-6.175818,,Raheny ,Kilbarrack ,,,,Thurles 
Greystones  - Howth,Kilbarrack ,53.387472,-6.16089,,Kilbarrack ,Howth Junction and Donaghmede ,,,,Templemore 
Greystones  - Howth,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Bayside ,,,,Ballybrophy 
Greystones  - Howth,Bayside ,53.391242,-6.136925,,Bayside ,Sutton ,,,,Drogheda (Macbride) 
Greystones  - Howth,Sutton ,53.391905,-6.115952,,Sutton ,Howth ,,,,Dundalk (Clarke) 
Greystones  - Howth,Howth ,53.388893,-6.074211,,,,,,,Newry 
,,,,,,,,,,Portadown 
Howth - Grand Canal Dock,Howth ,53.388893,-6.074211,,Howth ,Sutton ,,,,Belfast 
Howth - Grand Canal Dock,Sutton ,53.391905,-6.115952,,Sutton ,Bayside ,,,,Tralee (Casement) 
Howth - Grand Canal Dock,Bayside ,53.391242,-6.136925,,Bayside ,Howth Junction and Donaghmede ,,,,Farranfore 
Howth - Grand Canal Dock,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Kilbarrack ,,,,Killarney 
Howth - Grand Canal Dock,Kilbarrack ,53.387472,-6.16089,,Kilbarrack ,Raheny ,,,,Rathmore 
Howth - Grand Canal Dock,Raheny ,53.381423,-6.175818,,Raheny ,Harmonstown ,,,,Millstreet 
Howth - Grand Canal Dock,Harmonstown ,53.378643,-6.19131,,Harmonstown ,Killester ,,,,Banteer 
Howth - Grand Canal Dock,Killester ,53.372884,-6.204046,,Killester ,Clontarf Road ,,,,Limerick (Colbert) 
Howth - Grand Canal Dock,Clontarf Road ,53.363077,-6.226784,,Clontarf Road ,Dublin Connolly ,,,,Galway (Ceannt) 
Howth - Grand Canal Dock,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Tara Street ,,,,Oranmore 
Howth - Grand Canal Dock,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Pearse ,,,,Athenry 
Howth - Grand Canal Dock,Dublin Pearse ,53.343252,-6.248048,,Dublin Pearse ,Grand Canal Dock ,,,,Craughwell 
Howth - Grand Canal Dock,Grand Canal Dock ,53.339446,-6.237351,,,,,,,Ardrahan 
,,,,,,,,,,Gort 
Malahide -  Greystones,Malahide ,53.450686,-6.156293,,Malahide ,Portmarnock ,,,,Ennis 
Malahide -  Greystones,Portmarnock ,53.418177,-6.151142,,Portmarnock ,Clongriffin ,,,,Waterford (Plunkett) 
Malahide -  Greystones,Clongriffin ,53.402514,-6.149029,,Clongriffin ,Howth Junction and Donaghmede ,,,,Carrick-on-Suir 
Malahide -  Greystones,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Kilbarrack ,,,,Clonmel 
Malahide -  Greystones,Kilbarrack ,53.387472,-6.16089,,Kilbarrack ,Raheny ,,,,Cahir 
Malahide -  Greystones,Raheny ,53.381423,-6.175818,,Raheny ,Harmonstown ,,,,Tipperary 
Malahide -  Greystones,Harmonstown ,53.378643,-6.19131,,Harmonstown ,Killester ,,,,Castleconnell 
Malahide -  Greystones,Killester ,53.372884,-6.204046,,Killester ,Clontarf Road ,,,,Birdhill 
Malahide -  Greystones,Clontarf Road ,53.363077,-6.226784,,Clontarf Road ,Dublin Connolly ,,,,Nenagh 
Malahide -  Greystones,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Tara Street ,,,,Cloughjordan 
Malahide -  Greystones,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Pearse ,,,,Roscrea 
Malahide -  Greystones,Dublin Pearse ,53.343252,-6.248048,,Dublin Pearse ,Grand Canal Dock ,,,,Carlow 
Malahide -  Greystones,Grand Canal Dock ,53.339446,-6.237351,,Grand Canal Dock ,Dun Laoghaire (Mallin) ,,,,Athy 
Malahide -  Greystones,Dun Laoghaire (Mallin) ,53.294776,-6.134575,,Dun Laoghaire (Mallin) ,Bray (Daly) ,,,,Thomastown 
Malahide -  Greystones,Bray (Daly) ,53.203712,-6.100194,,Bray (Daly) ,Greystones ,,,,Kilkenny (Macdonagh) 
Malahide -  Greystones,Greystones ,53.144026,-6.061128,,,,,,,Muine Bheag (Bagenalstown) 
,,,,,,,,,,Rosslare Europort 
Grand Canal Dock - Malahide,Grand Canal Dock ,53.339446,-6.237351,,Grand Canal Dock ,Dublin Pearse ,,,,Rosslare Strand 
Grand Canal Dock - Malahide,Dublin Pearse ,53.343252,-6.248048,,Dublin Pearse ,Tara Street ,,,,Wexford (O Hanrahan) 
Grand Canal Dock - Malahide,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Connolly ,,,,Enniscorthy 
Grand Canal Dock - Malahide,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Clontarf Road ,,,,Gorey 
Grand Canal Dock - Malahide,Clontarf Road ,53.363077,-6.226784,,Clontarf Road ,Killester ,,,,Arklow 
Grand Canal Dock - Malahide,Killester ,53.372884,-6.204046,,Killester ,Harmonstown ,,,,Rathdrum 
Grand Canal Dock - Malahide,Harmonstown ,53.378643,-6.19131,,Harmonstown ,Raheny ,,,,Wicklow 
Grand Canal Dock - Malahide,Raheny ,53.381423,-6.175818,,Raheny ,Kilbarrack ,,,,Kilcoole 
Grand Canal Dock - Malahide,Kilbarrack ,53.387472,-6.16089,,Kilbarrack ,Howth Junction and Donaghmede ,,,,Manulla Junction 
Grand Canal Dock - Malahide,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Clongriffin ,,,,Foxford 
Grand Canal Dock - Malahide,Clongriffin ,53.402514,-6.149029,,Clongriffin ,Portmarnock ,,,,Ballina 
Grand Canal Dock - Malahide,Portmarnock ,53.418177,-6.151142,,Portmarnock ,Malahide ,,,,Westport 
Grand Canal Dock - Malahide,Malahide ,53.450686,-6.156293,,,,,,,Castlebar 
,,,,,,,,,,Claremorris 
Cork - Dublin,Cork (Kent) ,51.901363,-8.458343,,Cork (Kent) ,Mallow ,,,,Ballyhaunis 
